,brands,model_names,cpu_models,storages,rams,operating_systems,prices,graphics,ratings,reviews
445,HP,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,3.538,Integrated,4.4,3745.0
446,ANCIARY,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,248.0,Integrated,3.6,3745.0
447,STRIFF,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,129.0,Integrated,4.2,3745.0
448,Maxelon,Charger for Dell 19.5V 3.34A 65W [MGJN9],Core i3,512.0,16.0,Windows 11 Home,1.424,Integrated,4.1,3745.0
449,Lenovo,IdeaPad Slim 3 15IRU8,Intel Core i3,512.0,8.0,Windows 11 Home,37.75,Integrated,5.0,3745.0
450,Lenovo,IdeaPad Slim 3,Ryzen 5,512.0,16.0,Windows 11 Home,42.49,Integrated,4.5,3745.0
451,Dell,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,909.0,Integrated,3.8,3745.0
452,Storite,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,298.0,Integrated,4.0,3745.0
453,HP,15s-fy5010TU,Intel Core i3,256.0,8.0,Windows 11 Home,31.999,Integrated,4.1,3745.0
454,PLIXIO,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,1.499,Integrated,4.3,3745.0
455,GadgetBite,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,799.0,Integrated,5.0,3745.0
456,HP,HP Laptop,Athlon,256.0,8.0,Windows 11 Home,22.95,Integrated,4.5,3745.0
457,Lenovo,V15,Celeron,512.0,8.0,Windows,22.99,Integrated,3.8,3745.0
458,JIN OFFICE,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,1.65,Integrated,4.2,3745.0
459,TABLE MAGIC,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,2.35,Integrated,3.4,3745.0
